,GSM476089,GSM476090,GSM476091,GSM476092,GSM1519986,GSM1519987,GSM1519988,GSM1519989,GSM1519990,GSM1519991,GSM1519992,GSM1519993,GSM1519994,GSM1519995,GSM1519996
DBR1,11.61504971,11.62665235,11.73956797,11.62206067,1.2198,1.0252,0.9548,0.8662,0.9867,0.6052,0.7298,1.2312,1.2341,1.0618,1.4445
DCP1,12.14531271,12.13254105,12.31073108,11.96879749,2.1597,2.1091,2.2427,2.2292,2.1075,2.4031,2.5427,2.1595,2.3596,2.4757,2.0139
DCP2,12.36785562,12.3628297,12.10445216,12.11292837,1.0505,0.9558,0.907,1.0095,1.7686,1.5372,1.4465,1.0066,1.3491,0.8484,0.9029
DEF1,13.39344983,13.36010015,13.3531711,13.60374829,3.9252,4.1404,3.343,3.4706,3.8979,2.1949,2.2027,2.9457,2.8644,2.4169,4.369
DFR1,8.548275947,9.067376711,8.697138845,8.922766271,12.4168,10.8965,11.1035,10.1565,11.7078,7.6591,7.3542,9.5289,12.1997,13.9639,13.4906
DGA1,12.93781104,12.8305621,13.09129822,12.95870611,4.4441,3.9871,5.6622,5.7485,6.5943,9.8012,8.9608,6.7862,5.1489,5.0758,4.607
DIC1,11.86452399,11.73135797,12.08832393,11.89160929,0.191,0.1776,0.1317,0.1417,0.1789,0.1157,0.1877,0.2174,0.1727,0.1607,0.1936
DID2,12.72227157,12.71748752,12.64788422,12.5529165,4.8615,4.6405,4.6972,3.7892,3.0388,2.5203,3.5299,4.1448,4.3545,3.8653,4.3965
DID4,13.90685635,13.73579425,13.9116092,13.90395664,5.0661,4.2872,4.9253,3.7115,2.9452,4.39,6.3722,5.7103,5.6804,5.447,4.1022
DIM1,7.050935642,7.317386164,7.284863014,6.496988715,6.9284,6.0451,5.8459,4.9962,3.599,3.838,4.6924,4.7304,5.8974,6.2798,5.3717
DIS3,12.15872974,12.20534835,12.23823193,12.26624928,1.851,2.1093,1.6208,2.0591,1.7962,1.1273,1.1038,1.5571,1.5239,1.6311,2.2717
DLD1,14.46446131,14.41880021,14.4441193,14.71788018,9.4395,7.1726,9.4379,7.2899,10.0806,10.8544,10.8683,9.7851,11.3098,8.0803,8.8822
DMC1,8.49592756,8.350525836,8.894378276,8.236889748,0.0935,0.1752,0.1324,0.2179,0.2475,0.1696,0.1468,0.1723,0.1725,0.1468,0.1494
DML1,11.29708768,11.36293952,11.34990696,11.63686356,1.0738,0.6701,0.9266,0.7858,0.8302,0.8614,0.9302,0.816,1.0568,0.9885,0.9932
DNA2,10.35528944,10.18945517,9.914441,10.38683456,0.8529,0.9632,0.7014,0.8076,0.8333,0.7166,0.8529,0.868,0.8341,0.8335,0.8524
DNM1,13.49050686,13.35724533,13.39986505,13.44048934,1.6876,1.6458,1.9067,1.7978,2.2742,1.749,1.7424,1.6013,1.8374,1.4146,1.4786
DPB2,10.67772307,10.4017208,10.38983882,10.68105494,2.258,2.3788,1.7078,1.4171,1.716,1.1845,1.2394,1.6183,1.8487,1.7092,2.7018
DPB4,11.53502086,11.6437552,11.93192685,11.67164287,2.5342,2.583,2.4433,2.1609,1.3697,2.0014,2.5113,2.2614,2.3685,2.6163,2.308
DPH1,8.961341328,9.626298719,9.85551092,9.371703187,5.4644,5.6659,6.4407,6.2199,4.6258,6.401,6.515,8.3376,5.8887,4.7063,6.6711
DPH2,10.80537173,11.0039123,11.07160919,10.72169355,1.7038,1.3507,1.2113,1.0241,0.7516,0.5493,0.7151,0.9402,1.504,2.1769,1.9881
DPH5,11.09704385,11.55495111,11.37962441,11.34027432,13.2552,10.6344,13.0428,9.9189,8.5526,10.147,11.551,9.9262,11.8777,13.5061,12.3927
DPM1,13.4489898,13.59844821,13.46490084,13.59678122,12.6481,12.1124,13.1625,12.5784,11.3847,12.1187,11.9796,11.3329,11.9246,13.0682,11.896
DPS1,14.14889018,14.21952895,14.16758694,14.2493302,1.2791,0.6429,1.3358,0.9426,2.0048,2.7454,2.1675,0.8571,1.0486,0.8491,0.6756
DRS1,9.658335506,10.36923156,10.36222754,9.535571074,9.2456,8.2885,8.1681,7.8204,11.3477,9.2004,8.4095,6.9319,11.6001,9.4464,8.9467
DUO1,9.803233243,9.811537021,10.03134995,9.801955811,0.0882,0.2347,0.0789,0.1876,0.0934,0.068,0.0958,0.1246,0.1006,0.1006,0.0778
DUS3,8.670879992,9.140662273,9.198152297,9.124716437,1.5137,1.8265,0.9514,1.1201,0.9417,0.7071,0.7982,1.6399,1.3495,1.5821,2.1299
EAF6,11.75087793,11.64216178,11.56241704,11.55390429,2.8161,2.7701,3.6113,3.6006,2.6557,2.7174,3.2036,2.6236,2.3345,2.6005,2.6097
EBP2,8.615325694,9.244578532,9.676366316,8.920036375,5.695,5.8361,2.909,2.2916,1.8021,1.5909,2.1272,3.7265,4.2832,5.7576,6.5851
ECM29,12.53973603,12.43364391,12.44068767,12.39050432,1.6504,2.0738,1.7904,2.1135,3.1799,2.7776,2.608,2.033,1.9269,1.5461,1.7861
ECM33,14.48129024,14.41524166,14.33978857,14.55682175,13.5199,10.3532,9.7148,9.3408,7.1454,5.5057,5.0743,10.2378,14.0002,12.3683,16.405
EDC3,11.89061011,11.97365111,12.02107967,11.89829681,0.4188,0.3511,0.393,0.2682,0.5414,0.5092,0.3787,0.2883,0.4319,0.3462,0.2946
ELF1,13.84267842,13.78302003,13.78463565,13.83588131,4.3521,4.5413,3.2721,2.4795,2.8999,1.8789,2.0997,2.8715,3.6778,3.0496,3.9687
ELP2,9.970325404,10.33688987,10.31359375,10.06127569,2.0196,1.8782,1.5133,1.2697,1.0549,0.8039,0.9924,1.5049,1.4948,1.5395,2.2451
ELP3,10.32270708,10.56149651,10.72969152,10.46735461,2.9956,2.853,2.2774,1.9783,1.7807,1.1428,1.3748,2.1006,2.3201,2.6262,3.3908
ELP4,10.95473958,11.16143195,10.93612827,11.31129211,1.6669,1.7564,1.5428,1.7641,1.4596,1.0826,1.2181,1.9851,1.369,1.649,2.1054
ELP6,10.22884804,10.07659595,10.45214971,10.51354612,0.5358,0.6984,0.4605,0.5785,0.4295,0.3907,0.5452,0.8347,0.674,0.6865,0.6257
