ID,adj.P.Val,P.Value,t,B,logFC,Gene Symbol
1773342_at,0.437681511598913,0.10221112898979,-1.91128799175962,-8.75828913024203,-0.126794619999998,PCT1
1779946_at,0.438383192098533,0.102415107012038,1.90987767014752,-8.7602659009707,0.41356825475,AAH1
1779159_at,0.439549352516266,0.10281199768826,-1.90714149666635,-8.76409993496734,-0.134522490000002,MPD1
1770129_at,0.439549352516266,0.102848434698398,1.90689082401008,-8.76445111381715,0.0710938649999999,SIW14
1775403_at,0.441530556487517,0.103512936978178,1.90233467435171,-8.77083187020645,0.335758737500001,RPO21
1775254_at,0.441530556487517,0.103514026877838,-1.90232722529876,-8.77084229902107,-0.105366270000001,RSM18
1773498_at,0.442229111751454,0.103718266235265,1.90093269576141,-8.77279447204099,0.106940737499999,MET3
1775757_at,0.442373860062825,0.103833176341613,-1.90014929399588,-8.77389096982466,-0.18116751,RAD59
1774596_s_at,0.442924897554104,0.104003046039882,1.89899277534956,-8.77550948092895,0.150754027500001,RPS18A /// RPS18B
1776193_at,0.442968457359748,0.104053809484121,1.89864752709726,-8.77599259298054,0.262564770000001,TAT1
1777892_at,0.443839513378498,0.10429903645278,-1.89698205402508,-8.77832278317854,-0.129649242500001,ECM5
1775189_at,0.443950680567074,0.104406410052835,1.89625403982786,-8.77934118436335,0.755518963750003,PET122
1773587_at,0.444056255367354,0.104471873403136,1.89581054891629,-8.77996152056306,0.105390445000001,AGC1
1776310_at,0.444990337033361,0.104748554916307,-1.8939391625097,-8.78257869873903,-0.0924995500000012,BET5
1774929_at,0.445720062729852,0.105051571103115,-1.89189525955586,-8.78543633478589,-0.138706157500001,CHS5
1773101_at,0.446242129478241,0.105231146382268,1.89068673981558,-8.78712559932869,0.116808562499997,THI6
1773094_at,0.446392793068855,0.105307523840731,-1.89017334696465,-8.78784312788743,-0.0976871549999991,SPT7
1774018_at,0.447149289205564,0.105567822671153,1.88842643583605,-8.79028424379009,0.61183595875,MTR4
1770063_at,0.447206409223531,0.105622231168186,1.88806182905661,-8.79079366277988,0.0607760774999981,DIS3
1771693_at,0.448091157621102,0.105932716788464,-1.88598472320665,-8.79369521951737,-0.168364548000001,SHU1
1779150_at,0.448788178425885,0.106270072481925,-1.88373467015341,-8.79683736690614,-0.0355593249999995,GLK1
1771079_at,0.448788178425885,0.106283291157228,1.8836466496475,-8.79696026424731,0.0880999699999983,HST1
1776341_at,0.448790905934972,0.106325005075553,-1.88336895594603,-8.79734797949034,-0.1363355075,GUF1
1772288_at,0.449500644359219,0.106541726267066,1.88192795153484,-8.79935964938939,0.0961362349999995,HIR2
1775853_at,0.449500644359219,0.106601303884627,1.88153232046264,-8.79991188252263,0.1236413125,CHS7
1771980_at,0.449500644359219,0.106616551077882,1.88143110506708,-8.80005315662861,0.231023520000001,HOT13
1775852_at,0.449704561685141,0.106706069587259,-1.88083714287037,-8.80088215234002,-0.0586711825000013,TOM40
1780085_at,0.451121760377331,0.107083624306259,1.87833744126671,-8.80437019047631,0.258302537500002,FAA2
1769620_at,0.452346022684195,0.107477492253033,1.87573899101126,-8.80799463330053,0.442040465,ACP1
1773191_at,0.452346022684195,0.107498409673394,1.87560125629392,-8.80818671266337,0.228890717499999,UGA3
1772446_at,0.452346128791822,0.107572587264603,1.875113033037,-8.80886753721644,0.3456156875,RBS1
1777305_at,0.452346128791822,0.107581221516284,-1.87505622557213,-8.80894675163929,-0.119985675000001,YTA6
1772701_at,0.45272136968996,0.107719442562702,1.87414743778545,-8.81021390623388,0.109038072499999,TPN1
1770115_at,0.453034903157349,0.10786940135573,1.87316277623535,-8.81158665727751,0.151395959249999,SPH1
1770376_at,0.453075453170796,0.107923881276758,-1.87280538386995,-8.81208485969258,-0.143251602499999,CAF16
1770626_at,0.453075453170796,0.107961976579132,-1.87255558157064,-8.81243306625122,-0.144080434999999,DBF2
1777655_at,0.453202392775116,0.108065858542719,1.8718748380985,-8.81338190684392,0.13006434975,CWC22
1770453_at,0.453480518978134,0.108182989840409,-1.87110804502004,-8.8144505681074,-0.0972769500000012,SPC34
1771963_at,0.453511465780504,0.108231872506914,-1.87078827973483,-8.81489618044194,-0.186179042499999,CRG1
1774430_at,0.453833156731464,0.108350174406331,-1.8700149986763,-8.8159737045704,-0.106702520000001,MAL33
1778925_at,0.454276169983833,0.108504138263332,-1.86900985918995,-8.81737411997397,-0.121974065,PEP5
1770201_at,0.454276169983833,0.108546703930111,-1.86873222116727,-8.81776090246107,-0.201077645,CPR2
1778743_at,0.454276169983833,0.108619525297267,1.86825748674004,-8.81842222529435,0.141995252499999,STV1
1778883_at,0.454276169983833,0.108622221098806,-1.86823991839285,-8.81844669773493,-0.1109370175,APQ12
1776752_at,0.455224358719931,0.108890599715767,-1.86649306231764,-8.82087971158252,-0.131991417500004,DCR2
1770567_at,0.456622520138653,0.109433965981253,-1.86296929000662,-8.82578561043179,-0.258802044999999,NEJ1
1774087_at,0.456981849098259,0.109593688604897,-1.86193675514532,-8.82722262770706,-0.160434944999999,ADY3
1775605_at,0.456981849098259,0.109642569199269,-1.86162106039412,-8.82766194575557,-0.13072683,PUS6
1775615_at,0.456981849098259,0.109645535169806,-1.86160190917016,-8.82768859573557,-0.134962037499999,STE23
1778278_at,0.458076199892113,0.109978686937264,-1.85945399511387,-8.83067703050633,-0.336368159749998,RTG1
1769935_at,0.458076199892113,0.109991942580244,1.85936866524864,-8.83079573088214,0.1783370775,ISA1
1773792_at,0.458385981856613,0.110108272545169,-1.85862025452897,-8.83183675947012,-0.0793563699999975,FYV10
1773035_at,0.458589423841906,0.11019910569261,1.85803641918225,-8.83264878119384,0.0667449325000007,CCT8
1770075_at,0.459984934507241,0.110582756218576,-1.85557569899554,-8.83607043029551,-0.0579380600000015,MRS3
1777585_at,0.460023962463569,0.110670113224444,-1.85501656921939,-8.83684771907042,-0.263137644999999,CYR1
1772675_at,0.460091474527702,0.110728456991934,-1.85464338100406,-8.83736647810629,-0.108728397499998,ISW1
1779426_at,0.460385744762001,0.11085419210533,-1.85383979046739,-8.83848342390213,-0.0777157525000032,SEC26
1778315_at,0.460385744762001,0.110897153999273,1.85356542065321,-8.838864749976,0.124912212500002,FAP7
1770737_at,0.460385744762001,0.110925664893699,-1.85338339775854,-8.83911772081581,-0.199354652499999,JNM1
1776151_at,0.460868207700806,0.111126256157725,-1.85210405728027,-8.84089550961659,-0.28117846525,MTO1
1771884_at,0.461462576237968,0.111435177998081,1.85013823816024,-8.8436265324343,0.341829638999998,PUS2
1771764_at,0.461462576237968,0.111436179737508,1.85013187233205,-8.84363537479653,0.248367168250001,RAS1
1776227_at,0.461462576237968,0.111438482676793,-1.85011723788562,-8.84365570253009,-0.1664658575,KTR6
1771396_at,0.462547180997572,0.111742730402049,1.84818645123926,-8.84633721177163,0.391257740000002,BRX1
1778664_at,0.463031689582171,0.111916643981694,-1.84708509911969,-8.84786641612519,-0.293210111500001,COG3
1773891_at,0.463031689582171,0.111944520852498,1.84690871822993,-8.84811129212691,0.144011497499999,EXO1
1777455_at,0.463083856556558,0.111999508865207,1.84656092789734,-8.84859412170716,0.1172647675,ARG82
1779623_at,0.463918830802326,0.112277252228573,-1.84480680716121,-8.85102891562163,-0.318319907499999,ATG15
1771862_at,0.463918830802326,0.112286356833103,-1.84474937819644,-8.85110861779129,-0.0770215424999972,NUP145
1777611_at,0.464036586364243,0.112357321332338,-1.84430191339219,-8.85172960162122,-0.0852781849999982,ERP6
1778063_at,0.464201776931381,0.11243979717582,1.84378221299158,-8.85245077625472,0.30867044975,NOG1
1776379_at,0.464300861641667,0.112506284921956,1.84336353016812,-8.85303172724255,0.295570142499999,WWM1
1779111_at,0.46466739583591,0.112637621849316,-1.84253719687357,-8.85417820519767,-0.109761115,CDC24
1775522_at,0.464695229347822,0.112719062364676,1.84202527255884,-8.85488838607227,0.223522163,SWM1
1769942_at,0.464695229347822,0.112729415538166,-1.84196021991746,-8.85497862787474,-0.115762942499998,RPB11
