,GSM1519986,GSM1519987,GSM1519988,GSM1519989,GSM1519990,GSM1519991,GSM1519992,GSM1519993,GSM1519994,GSM1519995,GSM1519996
taf4,1.6935,1.9759,1.8733,1.9954,1.8606,1.7839,2.0193,2.4355,1.6848,1.5443,2.0145
taf5,3.3703,2.7074,3.1552,2.8501,3.9026,3.7341,3.9361,3.2664,3.5216,2.6712,3.1839
taf6,2.517,2.2304,2.3257,2.3424,2.5764,2.4676,2.4883,2.986,2.9229,2.4078,2.8214
taf73,1.4166,1.084,1.474,1.346,1.5295,1.4314,1.1596,0.9606,1.2608,1.039,1.1133
taf8,0.8264,0.9681,0.9065,0.9329,1.1422,0.7526,0.6836,0.7332,0.5905,0.8695,0.9207
taf9,5.4639,4.8081,5.3213,4.6317,3.4634,3.2461,4.0545,4.3595,4.4626,4.8706,4.5182
tah18,1.0091,1.1109,1.0324,1.2747,1.4757,1.0177,0.9876,0.8267,1.0804,0.8893,1.0206
tal1,13.4633,15.185,12.4287,14.3253,17.3091,18.1177,17.1162,22.2189,18.5831,15.505,17.1044
tam41,1.5276,1.3001,1.6043,1.2025,1.3179,2.0035,2.1959,1.4537,1.1683,1.3851,1.4335
tas3,0.5237,0.4617,0.5538,0.6245,0.8823,0.7509,0.6702,0.6391,0.755,0.4798,0.5702
taz1,1.719,1.507,2.1205,1.5438,1.6106,1.1896,1.0768,1.1031,1.4938,1.1607,1.4043
tbc1,0.222,0.1755,0.1585,0.2065,0.4448,0.4606,0.4105,0.4745,0.5488,0.4609,0.3346
tbf1,0.5479,0.4288,0.3645,0.3271,0.3957,0.3205,0.345,0.4455,0.4812,0.4095,0.5949
tbp1,8.3044,4.7404,8.8473,5.7003,7.4465,9.5755,8.831,8.4079,7.765,9.3438,9.4923
tcg1,10.6442,10.6845,12.0148,11.8929,12.7767,12.6959,12.3357,10.8538,10.833,8.8542,10.0312
tco1,1.2789,1.454,1.1354,1.0895,1.5771,1.2368,1.1367,1.0529,1.1839,1.0377,1.6607
tco89,0.976,0.7752,0.853,0.6931,0.9459,0.6848,0.8608,0.8028,0.9992,0.8644,0.9641
tdp1,0.5474,0.5429,0.5373,0.5023,0.6204,0.3948,0.3717,0.4502,0.5361,0.4339,0.6342
tea1,1.0091,1.0335,0.8649,0.8907,0.9307,0.7433,0.6885,0.5308,0.6772,0.6906,0.7983
tea2,0.0206,0.0223,0.0172,0.0217,0.0281,0.0174,0.0261,0.0158,0.0298,0.0213,0.0156
tea3,1.4563,1.3684,1.4204,1.419,1.5944,1.0312,0.9159,1.0391,1.207,1.1857,1.4111
tea4,0.5808,0.5284,0.7294,0.7701,1.0218,0.7442,0.6359,0.5799,0.4924,0.4913,0.5841
tef102///ef1a-c///ef1a-a,32.6006,32.2477,31.577,31.124,32.8831,33.0025,31.7073,33.8968,33.3518,32.796,34.4462
tef3,18.4788,18.0801,17.332,15.2755,16.0164,12.4908,11.7762,14.3473,17.4382,14.8918,19.0048
tef5,25.1869,26.6727,25.2654,23.7995,20.8849,15.8447,18.3498,20.9197,20.7154,23.9604,25.6304
