,GSM12087,GSM12094,GSM12183,GSM12184,GSM12185,GSM12186,GSM12187,GSM12188,GSM12189,GSM12190
BBS4,1.523307,1.523307,1.4438405,1.5711576,1.5778801,1.2468239,1.2530756,1.5114069,1.3957082,1.5750595
BBS9,0.659630606666667,0.659630606666667,0.40911834,0.56293485,0.64761903,0.68995766,0.62858815,0.503485466666667,0.484692416666667,0.708234033333333
BBX,3.1204925,3.1204925,2.5697465,2.0721061,2.58341,1.911071,2.3998244,1.6844107,2.2772532,1.9404289
BCAM,2.2326299,2.2326299,2.0538949,2.0170779,1.8801844,1.6878402,2.1028119,2.1473385,1.68068665,2.42732335
BCAP29,2.55057166666667,2.55057166666667,2.8577897,2.12397226666667,2.1084486,1.98487603333333,1.7331575,1.34125486666667,2.2329043,1.80328303333333
BCAP31,37.248905,37.248905,36.16304,43.906075,44.98249,40.414703,41.35413,49.34791,39.29957,35.561558
BCAR3,0.08355321,0.08355321,0.21286231,0.3557875,0.39078343,0.23502722,0.5404218,0.5855514,0.8583691,0.25337568
BCAS1,1.4028145,1.4028145,1.155797,1.5151802,1.3391706,1.3221415,0.68277675,0.9144487,1.2540773,1.7084988
BCAS2,0.521548,0.521548,0.99275357,1.2077799,1.0304148,0.77404726,0.8892794,0.8612168,0.472103,0.6830818
BCAT1,1.1873351,1.1873351,1.0570651,0.8235295,0.9308756,0.6415608,0.7706502,0.9895438,0.61459225,0.32168388
BCAT2,4.580475,4.580475,5.223732,5.2666035,4.4414744,5.637024,5.2293496,7.524715,4.581116,5.0468626
BCHE,0.3843448,0.3843448,0.34873188,0.6840607,0.643318,0.39836663,0.40685412,0.56653994,1.0154507,0.82128674
BCKDHA,3.3368514,3.3368514,3.8387678,3.4478178,3.2709677,3.139746,3.135325,3.531369,2.7124465,3.223987
BCKDHB,0.485781313333333,0.485781313333333,0.525966186666667,0.456040463333333,0.19508448,0.43799155,0.358523726666667,0.373574162666667,0.31587983,0.46915541
BCKDK,3.0773966,3.0773966,2.2219203,2.3643265,2.4718895,2.61706,2.308436,2.5560837,2.7828326,2.3645751
BCL10,2.1204927,2.1204927,2.51721,3.6527514,2.430415,2.170599,2.5254831,2.174905,2.239485,2.4765685
BCL11A,0.60686016,0.60686016,0.468750005,0.667931705,0.41013824,0.52223232,0.56239018,0.97956285,0.479828345,0.664019057
BCL2,1.17994729,1.17994729,1.780253558,1.590322594,1.73640548,1.272958254,1.447100096,0.974334654,1.05047206,1.090071454
BCL2A1,0.24010554,0.24010554,0.026268115,0.1451613,0.01843318,0.14700545,0.22231986,0.2690114,0.25493562,0.06592534
